X,Y,full_id,attributio,boundary,health_lev,name,ref,ref_dhis2,alt_name
18.5430813080686,-2.92751796077027,r10644988,Référentiel Géographique Commun (RGC.cd),health,6,Bokoro,,GcP2B8nmUVo,
18.4964691389267,-1.85146635467628,r10645448,Référentiel Géographique Commun (RGC.cd),health,6,Inongo,,PIT5UiywHIa,
19.4925339099832,-1.94700846552518,r10645635,Référentiel Géographique Commun (RGC.cd),health,6,Kiri,,dQ9r634pZZF,
19.0949906280136,-1.09804610342967,r10645718,Référentiel Géographique Commun (RGC.cd),health,6,Pendjwa,,NyvJf4zd0Sj,Penjwa
17.5998708943316,-1.80590585260755,r10645834,Référentiel Géographique Commun (RGC.cd),health,6,Banzow Moke,,Vf0Hzcf5ux3,Banjow Moke
16.5361839786264,-2.15268064823906,r10645988,Référentiel Géographique Commun (RGC.cd),health,6,Yumbi,,VOwZTRAt0Ak,
16.3662355581529,-2.65240609967962,r10646070,Référentiel Géographique Commun (RGC.cd),health,6,Bolobo,,MiaMAqYujLY,
16.6812099769036,-3.62934200136502,r10646281,Référentiel Géographique Commun (RGC.cd),health,6,Kwamouth,,nTMZjDaAgBb,
17.7149580599492,-2.85355809414108,r10646626,Référentiel Géographique Commun (RGC.cd),health,6,Nioki,,j89PZlq83OT,
17.136120883729,-2.52056091382968,r10646723,Référentiel Géographique Commun (RGC.cd),health,6,Mushie,,EDu64jGXwRe,
15.2871274263708,-4.33553310943667,r10647806,Référentiel Géographique Commun (RGC.cd),health,6,Kokolo,,Ab6jrKWO5EZ,
17.2710939477187,-4.71761861011185,r10649226,Référentiel Géographique Commun (RGC.cd),health,6,Kenge,,Qx104OFTrS6,
17.4272639927694,-3.524771871919,r10649812,Référentiel Géographique Commun (RGC.cd),health,6,Bandundu,,KJPFKwgcqyd,
16.3871042823902,-5.51389377609312,r10650093,Référentiel Géographique Commun (RGC.cd),health,6,Popokabaka,,Otc087GDtkQ,
15.3713564778237,-4.44092607891527,r10650282,Référentiel Géographique Commun (RGC.cd),health,6,Kimbanseke,,cycttnJlR4L,
16.7697387552328,-4.98881293042914,r10650494,Référentiel Géographique Commun (RGC.cd),health,6,Boko,,tUhIQ4MVPVI,
15.2855725527181,-4.40002938762299,r10650548,Référentiel Géographique Commun (RGC.cd),health,6,Selembao,,nbSOIch7Mbc,
17.9651419727884,-3.78130338494595,r10650714,Référentiel Géographique Commun (RGC.cd),health,6,Bagata,,k06WV7FTN9D,
18.5871697019167,-3.77494466494216,r10651244,Référentiel Géographique Commun (RGC.cd),health,6,Sia,,poOqTlUDT0A,
19.036864091661,-3.99857654193054,r10651675,Référentiel Géographique Commun (RGC.cd),health,6,Mokala,,tPnKr9Z2phW,
